Herbarium,LabelQty,empty$Phylum,empty$Class,Genus,Qualifier,Species,Country,ProvinceState,Location,Latitude,Longitude,Habitat,Depth,Reproductive Status,Date Collected,Main Collector,Other collectors,Collectornum,Determiners,DeterminationDate,Notes,Coralline
UBC,1,Rhodophyta,Florideophyceae,Bossiella,"",mayae,Canada,British Columbia," Hakai , North Beach Bench",51.66541,-128.13533,Low intertidal,,,17-Jun-18,Patrick T. Martone,,PTM1743,Patrick T. Martone,,"Just above Q0, low transect",Yes
UBC,1,Rhodophyta,Florideophyceae,Bossiella,"",mayae,Canada,British Columbia," Hakai , North Beach Bench",,,Low intertidal,,,17-Jun-18,Patrick T. Martone,,PTM1744,Patrick T. Martone,,"Just above Q0, low transect",Yes
UBC,1,Rhodophyta,Florideophyceae,Bossiella,"",mayae,Canada,British Columbia," Hakai , North Beach Bench",,,Low intertidal,,,17-Jun-18,Patrick T. Martone,,PTM1745,Patrick T. Martone,,"Just above Q0, low transect",Yes
UBC,1,Rhodophyta,Florideophyceae,Bossiella,"",mayae,Canada,British Columbia," Hakai , North Beach Bench",,,Low intertidal,,,17-Jun-18,Patrick T. Martone,,PTM1746,Patrick T. Martone,,"Under Saccharina, between survey and Coralline X",Yes
UBC,1,Rhodophyta,Florideophyceae,Lithophyllum,"",sp.1,Canada,British Columbia," Hakai , North Beach Bench",,,Low intertidal,,,17-Jun-18,Patrick T. Martone,,PTM1747,Patrick T. Martone,,"Under Saccharina, between survey and Coralline X",Yes
UBC,1,Rhodophyta,Florideophyceae,Lithophyllum,"",sp.1,Canada,British Columbia," Hakai , North Beach Bench",,,Low intertidal,,,17-Jun-18,Patrick T. Martone,,PTM1748,Patrick T. Martone,,"Under Saccharina, between survey and Coralline X",Yes
UBC,1,Rhodophyta,Florideophyceae,Bossiella,"",mayae,Canada,British Columbia," Hakai , North Beach Bench",,,Low intertidal,,,17-Jun-18,Patrick T. Martone,,PTM1749,Patrick T. Martone,,"Under Saccharina, between survey and Coralline X",Yes
UBC,1,Rhodophyta,Florideophyceae,Lithophyllum,"",sp.1,Canada,British Columbia," Hakai , North Beach Bench",,,Low intertidal,,,17-Jun-18,Patrick T. Martone,,PTM1750,Patrick T. Martone,,"Under Saccharina, between survey and Coralline X",Yes
UBC,1,Rhodophyta,Florideophyceae,Bossiella,"",mayae,Canada,British Columbia," Hakai , North Beach Bench",,,Low intertidal,,,17-Jun-18,Patrick T. Martone,,PTM1751,Patrick T. Martone,,"Under Saccharina, between survey and Coralline X",Yes
UBC,1,Rhodophyta,Florideophyceae,Bossiella,"",mayae,Canada,British Columbia," Hakai , North Beach Bench",,,Low intertidal,,,17-Jun-18,Patrick T. Martone,,PTM1752,Patrick T. Martone,,"Under Saccharina, between survey and Coralline X",Yes
UBC,1,Rhodophyta,Florideophyceae,Lithophyllum,"",sp.,Canada,British Columbia," Hakai , North Beach Bench",,,Low intertidal,,,17-Jun-18,Patrick T. Martone,,PTM1753,Patrick T. Martone,,"Under Saccharina, between survey and Coralline X",Yes
UBC,1,Rhodophyta,Florideophyceae,Lithophyllum,"",sp.1,Canada,British Columbia," Hakai , North Beach Bench",,,Low intertidal,,,17-Jun-18,Patrick T. Martone,,PTM1754,Patrick T. Martone,,"Under Saccharina, between survey and Coralline X",Yes
UBC,1,Rhodophyta,Florideophyceae,Lithophyllum,"",sp.1,Canada,British Columbia," Hakai , North Beach Bench",,,Low intertidal,,,17-Jun-18,Patrick T. Martone,,PTM1755,Patrick T. Martone,,"Under Saccharina, between survey and Coralline X",Yes
UBC,1,Rhodophyta,Florideophyceae,Lithothamnion,"",phymatodeum,Canada,British Columbia," Hakai , West Beach Boulders",,,Low intertidal,,,12 June 2018,Patrick T. Martone,,PTM1756,Patrick T. Martone,,Collection 1 for Janot chemistry,Yes
UBC,1,Rhodophyta,Florideophyceae,Lithothamnion,"",phymatodeum,Canada,British Columbia," Hakai , West Beach Boulders",,,Low intertidal,,,12 June 2018,Patrick T. Martone,,PTM1757,Patrick T. Martone,,Collection 2 for Janot chemistry,Yes
UBC,1,Rhodophyta,Florideophyceae,Lithothamnion,"",phymatodeum,Canada,British Columbia," Hakai , West Beach Boulders",,,Low intertidal,,,12 June 2018,Patrick T. Martone,,PTM1758,Patrick T. Martone,,Collection 3 for Janot chemistry,Yes
UBC,1,Rhodophyta,Florideophyceae,Lithothamnion,"",phymatodeum,Canada,British Columbia," Hakai , West Beach Boulders",,,Low intertidal,,,12 June 2018,Patrick T. Martone,,PTM1759,Patrick T. Martone,,Collection 4 for Janot chemistry,Yes
